alumni,award,hici,ns,pub,teaching,international,research,income,student_staff_ratio,Ranking_Bin
0,0,13.1,12.3,44.2,36.5,26.1,28.5,68.7,6.7,4
34.8,21.6,22.3,23.2,48.3,45.6,64,37.4,49,31.5,5
12.6,0,22,24,63.2,45.8,80.4,58.4,66.2,32.7,5
30.3,10.9,15.9,19,39.7,46.5,34.4,37.4,49.3,6.4,5
10.3,21.6,18.5,21.9,39.6,46.5,37.1,35.1,49.3,13.6,5
11.5,0,23.9,19.2,54.2,43.8,73.4,47.1,51.8,21.6,5
17.8,9.4,25.7,22,46.9,45,59.5,58.2,47.3,17.1,5
12.6,0,15.9,15.3,37.8,53.5,37,52.9,69.4,7.3,5
0,18.8,23,21,52.6,36.9,56.1,50.8,88.9,25.6,5
12.6,16.3,25.2,22.4,51.8,37.5,49.7,48.1,31.5,15.1,5
11.5,13.3,5.1,12.1,52,32.3,37.5,28.1,34.2,32.3,5
0,0,11.1,7.5,31.7,51.1,43.3,28.2,80,8.5,5
5.1,0,20.8,18.8,53.3,42,60.5,55.4,56.7,14.4,5
0,0,15.1,11.7,51.6,28.4,47.8,28.8,31,12.2,5
21.2,0,22.5,16.3,49.7,32.6,70.1,48.5,32.6,11.5,5
8.9,0,30.7,21.8,50.6,51.1,55,49.4,31.7,15.7,5
5.1,13.3,26.9,18.3,57.5,42.5,49.1,51.6,85.3,34.1,5
16.2,21.7,28.1,22.8,29.2,41.7,70.8,37.1,34.6,9,5
11.5,22.1,12.3,25.8,51.8,30.9,66.3,47.5,59.8,13.6,5
7.3,16.3,25.7,32.4,45.5,43.7,76.6,44.7,42.1,14,5
17.8,27.4,18.4,24.6,49.8,40.2,57.5,53,39.6,18.2,5
29,25.3,16.8,17.7,44.3,37.5,31.8,31.8,86.3,7.9,6
7.3,0,24.9,18.5,42.1,37,78.8,40.5,39.9,16,6
0,0,27.8,18,55.5,35.5,50.6,43.2,60,16.3,6
0,0,20.2,17.8,58.6,41.1,83.5,51.9,47.8,25.9,6
0,0,12.2,12.1,72,51.6,25.3,51.6,40.1,14.6,6
16.2,0,12.3,19.3,50.4,30.5,61.6,46.7,42.8,13,6
0,0,11.2,10.5,50.5,43.9,92.5,55.9,100,16.2,6
23.5,37.6,15.2,18.3,33.3,36.9,60.6,37.5,36.5,19.4,6
0,0,22,14.7,39.5,42.7,56.7,27.2,49.3,5.7,6
0,0,14.8,18.4,36,32.8,60.5,24.4,31.3,10.9,6
0,0,10.1,11.8,27.6,26,55.4,28.2,41.6,22.8,6
11.5,20,19.1,15.9,45.9,39.9,70.6,35.8,39.6,15,6
0,0,20.3,18.8,44.7,41.9,31.7,33.5,49.3,11.6,6
0,0,8.7,8.7,50.7,48.9,35.9,44.3,98.5,15.8,6
0,0,18.4,22.6,58.6,43.7,79.6,54.4,73.4,40.5,6
0,0,24.6,19.5,46.2,35.2,82.4,34.1,38.9,13.5,6
18.5,0,7.1,15.8,33,22.3,66.3,21.7,94.8,18.6,6
12.6,18.8,23.2,15.1,44.5,38.1,69.4,43.2,85,19.3,6
11.5,0,17.2,17.3,50.6,43.8,76.7,44.4,91.8,20.3,7
18.5,9.4,20.8,12.7,44.7,42.8,75.8,39.8,36,16.4,7
0,0,37.9,33.9,29,30.6,54.6,31.9,33.8,22.7,7
0,0,22.6,9.2,37.9,32,26,22.4,35.6,15.7,7
15.4,19.8,17.4,21.1,39.8,32.2,54.8,22.2,55.4,70.4,7
0,0,14.9,7.5,25,33.3,26,23.5,38.2,4.6,7
19.2,16.3,17.4,21.4,39.2,41.2,91.2,41.1,97.7,17.3,7
17,0,18.4,18.4,42.5,39.4,67.6,39.1,39.4,14.7,7
19.9,26.6,11.3,11.8,32.7,26.7,79.4,36.2,50.7,26.1,7
0,0,7.1,9.1,29.9,52.7,36,49.3,100,10.1,7
0,0,13.8,13.6,44.6,34.4,63.1,30.5,41.5,16.5,7
24.1,27.4,18.1,19.4,40.4,30.1,53.2,45,32.4,23.7,7
0,0,11.3,16.1,48.2,20.7,40.4,18.2,32.9,18.3,7
0,0,17.5,14.2,43.9,62.1,81.9,72.6,56,17.6,7
0,0,6.3,21.7,31.5,45.2,27.6,23.9,49.3,5.5,7
17,0,14.2,9.6,46.3,25.3,37.4,22.9,40.1,24.3,7
17.8,13.3,18.4,17.5,42.8,40,74.8,39.1,43.8,15.5,7
5.1,11.5,21.1,14.6,39,39.9,79.7,28.2,98.6,5,7
11.5,16.3,7.2,15.6,42.2,38.4,25.2,27.5,43.4,8.2,8
13.6,19.2,24.8,20.1,45.1,53.7,91.3,70.9,38.9,19.2,8
0,0,12.6,10.6,68.5,37.9,23.9,37.9,88.4,12.8,8
0,0,14.9,16.8,36,29.6,32.2,23.4,44.5,17.5,8
25.1,28.8,15.9,19,34.6,28.6,69.5,23.4,32,17.8,8
0,0,17.3,13.4,35.9,39.3,33.1,25.8,43.2,43.7,8
10.3,13.3,12.3,13.1,31,39.4,83.9,30.3,30.6,18,8
0,0,14.9,22,33.2,29.4,85.1,39.9,50.9,13.1,8
0,0,20.1,17.1,39.3,36.4,40.6,30.9,54.4,17.4,8
0,14.9,16.3,21.9,32.9,38,57.3,29.3,31.3,12.1,8
0,0,3.6,9.3,38.1,32,30.7,15.2,49.3,10.7,8
0,0,16.3,10.4,40.2,27.7,41,37.9,99.8,21.5,8
0,0,7.1,13.5,68.5,36,21.5,33.1,88.6,15.9,8
0,0,0,6.9,40.5,31.5,48.4,32.3,88.7,10.4,8
0,0,8.6,14.9,44,37.9,63.2,34.7,45.9,26.3,8
8.9,0,3.6,12.5,38.1,31.7,29.6,22,31.2,14.1,8
0,0,12.2,13.1,56.1,45.6,37.4,34,49.4,12.2,8
11.5,0,11.3,14.1,39.2,30.6,32.2,20.1,36.2,17.5,8
0,0,20.6,16.7,42.1,39.7,35.3,28.9,31.1,19.9,8
17,13.3,14.9,18.6,41.2,31.3,79.5,33.2,40,13.6,8
12.6,0,16.3,19.2,41.3,42,80.7,36.9,47.4,22.5,8
0,16.3,13.6,17.8,39.2,30.5,69.3,30.4,34.8,13.1,9
11.5,0,6.3,12,35.5,44.6,39.9,25.1,29.3,12,9
0,0,21,14.5,43.7,43,53.4,34.1,40.7,9.2,9
10.3,0,0,18.8,40.2,19.1,52.1,17.2,33.6,16.1,9
0,0,13.8,10,48.1,31,43.1,23.2,34.9,22.9,9
17.8,0,18.1,13.7,32.1,32.4,88.6,32.9,37.1,14,9
0,0,0,11.1,47,48.1,35.8,50.2,98.5,20.3,9
0,0,12.2,15.2,37.6,30.3,73.8,29.6,35,15.2,9
0,0,12,14.9,37.2,40.5,60.1,34.9,82.7,24.6,9
12.6,0,24.7,23.9,32.2,29.4,61.6,27.5,39.5,22,9
10.3,13.3,13.8,13.7,29.7,31.1,44.2,24.3,42,23.8,9
13.6,14.1,24.1,14.5,47.5,36.3,87.3,38.1,63.3,20.7,9
11.5,0,8,8.6,35,37.6,38.8,27.1,31.1,13,9
13.6,0,32,16.9,35.5,44.8,40.3,49.1,52.8,13,9
0,14.1,15.1,5.2,43.1,43.9,64,53.5,42.8,10.2,9
15.4,0,16.2,8.5,40,29.4,39.3,20.3,40.8,66,9
0,0,8.1,8,34.5,31.6,43.4,29.4,43.5,27.8,9
13.6,0,15.9,21.1,36.5,35.2,91,39.7,29.4,20.5,9
0,0,10.7,5.9,41.4,32.4,89.7,48.1,96.1,18.9,9
0,0,10.1,4.9,40.7,31.8,26.7,40.1,100,14.4,10
0,0,15,8.6,36.7,35.8,55.7,29.9,62.7,16.2,10
0,0,16.3,6.3,40.6,39,56.8,29.9,69.8,27.6,10
0,0,10.7,9.7,34.1,31.7,79.4,28.1,33.8,24.5,10
0,0,14.6,18.5,31,29.8,83.9,31.6,34.8,13.4,10
0,0,5,12.9,44.5,30.4,46.4,29.2,34.6,12.3,10
0,0,16.8,16.9,24.5,24.4,64.5,22.5,47.7,15.3,10
13.6,21,10.1,12.9,36.4,33.5,54.7,29.6,45,13.9,10
0,0,0.7,9.3,53.7,34.6,50.2,23.3,51.7,13.3,10
0,0,15.2,10.1,38.8,18.1,37.4,17.3,35.4,17.2,10
18.5,0,12.2,11.5,37.3,26.8,76.7,35.3,88,12.1,10
0,22.4,15.2,12.1,30.3,31.9,83.6,30.4,31.2,17.4,11
11.5,0,8.6,18.1,38.9,55.5,77.9,71.4,100,19.4,11
11.5,0,11.4,11.4,40.9,40.1,28.9,40,42.6,18.6,11
0,8.1,5,12.5,45,30.1,46.8,22.8,33.9,17.5,11
0,0,12.3,10.3,29.5,31.8,42.2,14.3,34.6,10.8,11
10.3,0,23,21.2,34.7,27.8,36.7,21.1,32,16.8,11
0,0,19.6,14.6,34.5,37.2,80.4,40.7,34.8,15.7,11
0,19.6,5.8,10.4,34.7,33.4,36.1,21.6,36.9,12.6,11
0,0,14.3,8.4,26.7,32.8,75,34,34.9,14.8,11
8.9,9.4,8.6,9.3,33.4,28.6,73.1,17,33.7,2.9,11
0,0,14.6,13.8,42.2,30.9,63.1,40.4,41.7,24.2,11
0,0,20.3,14.2,36.2,27.6,30.4,31.3,38.8,19,11
0,0,12.2,8.7,26.1,40.7,29.7,20.7,49.3,8.4,11
0,0,13.1,9.3,37.5,40.1,57,39.8,39.6,19,11
19.2,0,8.6,18.8,18.4,25.8,54.7,29.1,43.9,12.6,11
0,0,15.9,16.5,29.9,36.4,54.7,21.9,34,15.1,11
0,0,8.7,9.9,54.9,32.5,37,25.2,58.9,16.6,12
19.9,16.3,15.2,18.2,31.2,65.4,87.4,74.2,40.6,17.5,12
13.6,0,5,10,31.3,31.2,54.5,17.9,44.8,17.1,12
10.3,16.3,20.1,10,30.8,29,40.6,36.3,99.3,15.9,12
12.6,0,13.9,12,22.1,30.9,42.8,26.2,49.9,15,12
0,0,10.7,16.5,36.7,29.5,65.3,27.9,34.2,11.1,12
0,0,13.1,11.9,32.6,37.3,55.4,33.4,59,22.1,12
0,0,12.2,10.4,33.7,21.2,50.3,25.7,31.3,11.9,12
0,0,8.6,9.7,30.6,21.9,49.2,13.7,44.2,46.6,12
0,29.8,23.7,14,39.3,41.1,85.7,45.8,35.6,16.6,12
0,0,8.6,7.6,41.1,17.9,43.7,12,30.8,15.4,12
13.6,23.1,7.2,6.5,37,22.4,36.7,18.8,37.7,18,12
0,0,16.8,8.4,35.9,34.5,37.3,27.5,31.8,16.3,12
0,0,11.3,9.9,39.3,28.6,48.8,19.3,32.2,13,13
0,0,12.2,13.1,34.3,33.6,71.6,30,68.9,14.4,13
0,0,5,5.3,31.2,30,47.8,31.2,94.7,23,13
10.3,0,3.8,17.5,29.3,35.7,90.5,35.9,39.8,12.7,13
0,0,5.1,10.7,35.8,34.6,61,33.6,100,30.3,13
17,0,16.8,11.6,33.4,31,47.8,24.4,35,16.4,13
18.5,0,10.1,12.2,26.7,30.6,59.3,17.3,48.2,45.4,13
0,0,17.4,9.2,31.9,51.8,77.8,66.8,57.6,23.8,13
14.5,0,5.1,11.5,30.8,21.6,49.8,24.4,50.6,14.6,13
7.3,0,10.1,13.5,30.8,25.9,69.1,18.4,70.4,25.9,13
13.6,0,12.2,11.4,26.6,26.8,21,19.4,49.3,17.5,13
0,0,13.9,15.2,32.5,32.2,75,33.8,32.2,17.5,13
0,0,8.6,14.1,22.3,32.4,54.6,29.1,46.5,17.4,13
0,0,5,5.7,30.7,26.3,43.5,19.2,64.4,40.6,13
0,0,17.8,18.4,34.9,32,79.8,32.7,35.8,18.8,13
14.5,0,16.3,12.9,42,33.8,79.3,40.4,65.3,30.1,13
13.6,0,19.2,15.6,28.3,25.2,76.5,22.6,29.2,14.7,13
0,0,5,10.9,25.1,28.7,50.7,16,33.3,25.8,13
17.8,0,0,10.1,31.4,30.1,88.6,25.1,43.7,17.9,13
16.2,0,7.8,7.4,29.1,42.2,70.4,32.3,63.4,17.5,13
0,9.4,14.8,18.6,24.1,23.9,93.4,17.1,42,16.9,13
0,0,12.3,9.2,31.1,38.3,69,47.1,99.9,16,13
0,0,5.1,10,28,32.6,30,15.7,34.5,17.5,13
