quality_of_education,alumni_employment,quality_of_faculty,publications,influence,alumni,award,hici,ns,pub,Ranking_Bin
351,510,202,220,230,5.1,11.5,21.1,14.6,39,5
72,53,113,114,118,24.6,7.7,25.2,20.8,39,5
142,209,196,129,137,17.8,13.3,18.4,17.5,42.8,5
169,151,153,62,109,11.5,0,23.9,19.2,54.2,5
104,126,146,319,236,18.5,0,12.2,11.5,37.3,5
367,97,218,557,363,0,0,8.6,14.1,22.3,6
214,276,96,37,73,17,0,30.9,21,58.7,6
100,479,116,162,356,0,14.1,15.1,5.2,43.1,6
209,20,126,94,74,0,0,27,27.7,43.7,6
367,360,218,364,398,0,0,13.9,7.4,30.1,6
184,526,213,163,128,12.6,0,16.3,19.2,41.3,6
68,210,43,58,47,19.2,20,33,31.6,52.7,6
329,95,218,115,133,0,0,24.6,19.5,46.2,6
102,423,218,235,101,0,0,14.9,22,33.2,6
367,385,218,79,120,0,0,27.8,18,55.5,6
338,78,200,289,233,10.3,13.3,12.3,13.1,31,6
128,274,218,89,119,16.2,0,12.3,19.3,50.4,6
367,567,218,672,440,0,0,34.3,22.7,49.5,6
170,50,128,169,169,12.6,0,15.9,15.3,37.8,6
367,347,186,306,549,0,0,12.3,9.2,31.1,6
367,567,218,832,515,10.3,18.8,34.5,24.8,44.6,6
62,157,218,133,141,17,0,18.4,18.4,42.5,6
51,342,78,549,195,19.2,0,8.6,18.8,18.4,6
367,225,218,194,317,0,0,0,11.1,47,6
65,158,205,117,165,18.5,9.4,20.8,12.7,44.7,6
134,35,178,180,143,10.3,21.6,18.5,21.9,39.6,6
247,567,218,209,113,12.6,0,24.7,23.9,32.2,6
40,19,218,246,167,17.8,0,20.7,14.4,25.4,7
310,165,106,91,81,11.5,22.1,12.3,25.8,51.8,7
264,481,218,293,174,0,0,17.8,18.4,34.9,7
92,25,218,46,223,11.5,0,13.9,11.6,55.5,7
357,238,131,197,359,0,0,16.3,6.3,40.6,7
46,39,75,50,58,8.9,0,31.6,26.7,51.7,7
176,179,207,154,172,17,13.3,14.9,18.6,41.2,7
156,306,145,146,181,13.6,14.1,24.1,14.5,47.5,7
117,149,64,38,31,21.8,18.8,28,34,63.2,7
97,105,67,97,65,0,11.5,26.5,25.5,46.7,7
232,252,218,734,428,18.5,18.8,13,24.4,37.9,7
219,445,218,234,243,14.5,0,16.3,12.9,42,7
356,208,131,193,280,0,0,12,14.9,37.2,7
367,567,218,397,164,0,0,5,19.7,26.4,7
41,170,218,68,127,14.5,0,23.9,21,52.2,7
367,241,218,159,130,0,0,22,14.7,39.5,7
367,567,218,265,307,0,0,5.1,10.7,35.8,7
131,109,84,116,176,11.5,20,19.1,15.9,45.9,7
159,34,218,298,321,0,0,11.1,7.5,31.7,7
367,567,218,321,328,0,0,17.2,11.3,29.7,7
367,567,218,816,684,13.6,0,10.1,11.9,41,7
233,296,167,103,83,0,0,20.3,18.8,44.7,7
367,567,218,499,883,0,0,8.1,8,25.2,8
195,567,218,110,93,0,14.9,16.3,21.9,32.9,8
318,337,135,272,304,10.3,16.3,20.1,10,30.8,8
367,455,66,143,85,0,20,22.2,25.5,42.6,8
191,185,101,231,154,13.6,0,15.9,21.1,36.5,8
316,125,218,370,312,0,0,15.9,16.5,29.9,8
53,286,40,106,134,28.1,32.6,15.9,18.2,49.1,8
200,567,218,195,91,0,0,6.3,21.7,31.5,8
186,567,58,173,84,0,0,14.8,18.4,36,8
77,107,50,98,117,0,0,20.7,14.8,48.1,8
223,163,218,171,194,0,0,8.6,14.9,44,8
367,398,218,203,298,0,0,13.1,9.3,37.5,8
367,567,218,507,774,0,0,18.1,1.5,38.5,8
367,203,218,112,252,0,0,12.2,13.1,56.1,8
