,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
USA,Dartmouth College,44,40,19,218,246,167,,201-300,17.8,0,20.7,14.4,25.4,,152,38.3,33.1,35.4,49.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Osaka University,45,46,39,75,50,58,,85,8.9,0,31.6,26.7,51.7,,157,51.3,29.1,48,73.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Pittsburgh - Pittsburgh Campus,46,79,169,218,25,57,,70,18.5,0,39.8,19.2,59.6,,91,45.2,32.2,46.3,38.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,"Pennsylvania State University, University Park",47,230,44,62,49,43,,60,10.3,0,41.6,31.6,53.4,,58,54.6,37.4,64.8,60.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of Minnesota, Twin Cities",48,63,130,63,23,40,,30,29.5,16.3,47.3,32.5,64,,46,59.9,33.8,64.7,-,18,,,,,,,,,,,,,,,,,,,,,,,,
USA,"Ohio State University, Columbus",49,96,87,82,28,52,,67,12.6,0,38.3,22.8,60.9,,68,54,51.5,51.1,46.8,13.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Southern California,51,152,62,39,57,64,,49,0,31.7,35.6,22.1,53.2,,75,55.2,42.7,44.6,34.4,12.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Washington University in St. Louis,52,101,96,71,41,21,,32,22.9,24.9,40.7,41.8,50.5,,42,57.6,46.5,55.2,-,5.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Davis",53,54,227,59,29,33,,57,0,0,41,33,58,,55,54.4,52.9,59.7,55.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Colorado Boulder,54,80,67,31,96,38,,34,12.6,34.1,37.1,36,45,,97,35,39.1,38.3,-,16.1,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Edinburgh,55,44,127,33,54,37,,47,20.5,24.9,25.8,30.5,51.9,,36,58.9,84.3,62.9,41.2,14.1,,,,,,,,,,,,,,,,,,,,,,,,
China,Peking University,56,182,38,218,52,131,,101-150,0,0,11.2,21.5,64,,48,70,53.7,61.9,100,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,National Taiwan University,57,92,25,218,46,223,,151-200,11.5,0,13.9,11.6,55.5,,155,48.8,27.5,57.3,43.8,11.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Florida,60,214,276,96,37,73,,83,17,0,30.9,21,58.7,,126,49.8,32.2,52.1,-,18.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,Carnegie Mellon University,61,25,160,23,211,225,,61,31.6,31.6,28.6,15.2,34.3,,24,61.6,59.3,74.9,53,13.1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of British Columbia,62,81,275,93,26,36,,40,15.4,18.8,32.8,32,63,,32,60.5,84.8,69,40.1,17.6,,,,,,,,,,,,,,,,,,,,,,,,
France,Pierre-and-Marie-Curie University,63,30,404,88,31,35,,36,33.6,27.4,25.8,29.8,59.2,,103,47.3,64.7,30,33.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Santa Barbara",64,133,280,29,111,59,,38,14.5,39.1,38.7,27.5,37.3,,37,49.4,64.3,61.4,87.1,27.3,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,National University of Singapore,65,367,98,218,34,125,,101-150,0,0,19.3,20.3,59.5,,25,72,94.9,78.1,53.4,15.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,Boston University,66,303,54,83,60,45,,73,11.5,11.5,29.1,26.3,49.5,,57,56.4,47.8,46.7,30.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Manchester,67,99,92,72,43,70,,41,18.5,32.6,27.1,26.1,56.2,,52,58.1,82,58.7,39.4,15.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Arizona,68,139,55,87,74,39,,90,14.5,0,27.2,27.5,48.4,,86,44.9,38.8,51.4,99.6,12.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,Vanderbilt University,69,87,94,110,55,62,,53,15.4,29,28.4,21.8,51,,96,46,28.3,38.2,59.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Utah,70,97,105,67,97,65,,93,0,11.5,26.5,25.5,46.7,,162,38.8,27.5,36.5,58.1,16.9,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Karolinska Institute,71,149,567,36,51,54,,48,22.4,26.6,24.8,23.5,50.8,,44,57.1,60.6,68,65.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of Maryland, College Park",72,68,210,43,58,47,,43,19.2,20,33,31.6,52.7,,132,36.5,44.8,39.1,33.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Tohoku University,73,41,170,218,68,127,,101-150,14.5,0,23.9,21,52.2,,165,49.7,29.7,47.3,76.8,5,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,University of Copenhagen,74,117,149,64,38,31,,35,21.8,18.8,28,34,63.2,,160,34,71.8,34.4,44.4,4.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Notre Dame,77,221,24,155,242,242,,201-300,12.6,0,17.5,13.9,31.8,,86,43.3,51.4,38.5,-,13.8,,,,,,,,,,,,,,,,,,,,,,,,
China,Tsinghua University,78,309,73,218,63,158,,101-150,10.3,0,10,26.8,63.8,,49,64.1,44.6,68.3,99.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,Georgia Institute of Technology,80,135,60,218,107,152,,101-150,12.6,0,30.3,22.4,43.2,,27,62.5,68.9,71.2,72.3,20.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Rochester,81,72,53,113,114,118,,101-150,24.6,7.7,25.2,20.8,39,,121,41.9,55.5,29.2,36.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Katholieke Universiteit Leuven,82,367,202,218,35,92,,90,0,0,30.1,18.6,56.6,,55,53,62.3,63.6,99.9,41.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Brown University,83,64,43,73,121,67,,75,14.5,13.3,26.2,25.1,43.6,,54,55.5,37,54.2,32.7,10.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,Emory University,84,367,146,116,67,60,,101-150,0,0,28.4,22,51.3,,93,49,42.9,32.4,42.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Erasmus University Rotterdam,85,367,46,189,87,147,,151-200,0,14.9,22,8,33.6,,72,39.8,66.2,53.7,54.4,18.9,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Tel Aviv University,86,77,107,50,98,117,,151-200,0,0,20.7,14.8,48.1,,188,43.5,46.1,51.1,42.6,24.4,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Utrecht University,87,84,199,115,39,44,,56,22.9,20,29.1,25.4,46,,79,38.2,52.9,54.8,84.1,15.4,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Sydney,88,105,198,166,45,103,,101-150,14.5,0,9.6,18.1,64.7,,60,52.8,83.6,60.8,67.3,20.2,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Irvine",89,227,567,44,78,51,,50,0,29.3,34.3,28.9,45.3,,88,39.5,56.1,41.7,40,16.1,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Geneva,92,35,191,42,122,77,,58,27.1,28.2,21.4,27.6,38.1,,107,34.5,96.8,37.2,65.1,15,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Melbourne,93,141,113,218,42,68,,44,17,13.3,28.6,25.3,66.9,,33,60.4,81.3,70.9,61.2,23.7,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,King's College London,94,27,190,114,76,116,,55,21.2,21,29.5,18.2,54.3,,40,55.6,87,62.3,39,11.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,Tufts University,95,60,48,182,166,160,,101-150,18.5,16.3,20.1,15.4,34.9,,88,43.6,51.1,33.9,58.7,10,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Zurich,96,115,389,85,56,46,,54,5.1,24,27.1,29,51.6,,103,40.2,86.9,33.1,40.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,Arizona State University,97,367,455,66,143,85,,93,0,20,22.2,25.5,42.6,,182,35.7,29.5,37.5,32.6,29.9,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Yonsei University,98,367,45,218,140,326,,201-300,0,0,8.6,4.9,52.1,,201-225,44.5,35.7,45.8,69.7,11.6,,,,,,,,,,,,,,,,,,,,,,,,
Norway,University of Oslo,99,53,286,40,106,134,,58,28.1,32.6,15.9,18.2,49.1,,186,36.1,60.3,35.2,36.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,
