,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Milan,172,162,441,182,118,189,,151-200,17,0,14.2,9.6,46.3,,276-300,25.3,37.4,22.9,40.1,24.3,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Sheffield,173,142,209,196,129,137,,101-150,17.8,13.3,18.4,17.5,42.8,,121,40,74.8,39.1,43.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Technical University of Denmark,174,351,510,202,220,230,,101-150,5.1,11.5,21.1,14.6,39,,121,39.9,79.7,28.2,98.6,5,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Hokkaido University,178,279,277,135,148,173,,151-200,11.5,16.3,7.2,15.6,42.2,,351-400,38.4,25.2,27.5,43.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Australian National University,179,196,379,52,130,99,,77,13.6,19.2,24.8,20.1,45.1,,45,53.7,91.3,70.9,38.9,19.2,,,,,,,,,,,,,,,,,,,,,,,,
China,Shanghai Jiao Tong University,180,335,143,218,81,267,,101-150,0,0,12.6,10.6,68.5,,276-300,37.9,23.9,37.9,88.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of New Mexico,181,367,567,218,223,170,,201-300,0,0,14.9,16.8,36,,251-275,29.6,32.2,23.4,44.5,,,,,,,,,,,,,,,,,,,,,,,,,
France,University of Strasbourg,182,71,567,49,191,145,,87,25.1,28.8,15.9,19,34.6,,201-225,28.6,69.5,23.4,32,17.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Houston,184,367,42,218,310,257,,201-300,0,0,17.3,13.4,35.9,,301-350,39.3,33.1,25.8,43.2,43.7,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"Trinity College, Dublin",185,338,78,200,289,233,,151-200,10.3,13.3,12.3,13.1,31,,138,39.4,83.9,30.3,30.6,18,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Lausanne,186,102,423,218,235,101,,201-300,0,0,14.9,22,33.2,,136,29.4,85.1,39.9,50.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,Iowa State University,187,286,186,109,151,178,,151-200,0,0,20.1,17.1,39.3,,193,36.4,40.6,30.9,54.4,17.4,,,,,,,,,,,,,,,,,,,,,,,,
France,Joseph Fourier University,188,195,567,218,110,93,,151-200,0,14.9,16.3,21.9,32.9,,178,38,57.3,29.3,31.3,12.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,Wayne State University,189,367,183,218,189,258,,301-400,0,0,3.6,9.3,38.1,,301-350,32,30.7,15.2,-,10.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of South Florida - Tampa,190,367,418,218,233,251,,201-300,0,0,16.3,10.4,40.2,,251-275,27.7,41,37.9,99.8,21.5,,,,,,,,,,,,,,,,,,,,,,,,
China,Zhejiang University,191,367,309,218,71,290,,101-150,0,0,7.1,13.5,68.5,,301-350,36,21.5,33.1,88.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Hanyang University,192,367,168,218,286,471,,301-400,0,0,0,6.9,40.5,,351-400,31.5,48.4,32.3,88.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Ottawa,193,223,163,218,171,194,,201-300,0,0,8.6,14.9,44,,188,37.9,63.2,34.7,45.9,26.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Missouri–Columbia,194,250,88,98,222,226,,301-400,8.9,0,3.6,12.5,38.1,,351-400,31.7,29.6,22,31.2,14.1,,,,,,,,,,,,,,,,,,,,,,,,
China,Fudan University,195,367,203,218,112,252,,151-200,0,0,12.2,13.1,56.1,,193,45.6,37.4,34,49.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Kansas,196,228,91,218,212,161,,201-300,11.5,0,11.3,14.1,39.2,,301-350,30.6,32.2,20.1,36.2,,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Georgia,198,93,188,172,181,132,,151-200,0,0,20.6,16.7,42.1,,276-300,39.7,35.3,28.9,31.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Liverpool,199,176,179,207,154,172,,101-150,17,13.3,14.9,18.6,41.2,,157,31.3,79.5,33.2,40,13.6,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Bern,200,184,526,213,163,128,,151-200,12.6,0,16.3,19.2,41.3,,132,42,80.7,36.9,47.4,22.5,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Cardiff University,201,321,218,143,178,153,,151-200,0,16.3,13.6,17.8,39.2,,201-225,30.5,69.3,30.4,34.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,George Washington University,202,192,56,218,301,227,,201-300,11.5,0,6.3,12,35.5,,200,44.6,39.9,25.1,29.3,12,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Illinois at Chicago,203,367,541,218,126,196,,151-200,0,0,21,14.5,43.7,,201-225,43,53.4,34.1,40.7,9.2,,,,,,,,,,,,,,,,,,,,,,,,
France,Claude Bernard University Lyon 1,207,367,567,218,132,121,,201-300,10.3,0,0,18.8,40.2,,351-400,19.1,52.1,17.2,33.6,16.1,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Bologna,208,350,348,218,136,281,,201-300,0,0,13.8,10,48.1,,276-300,31,43.1,23.2,34.9,22.9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Queen Mary University of London,209,147,319,218,226,175,,151-200,17.8,0,18.1,13.7,32.1,,107,32.4,88.6,32.9,37.1,14,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Sungkyunkwan University,211,367,225,218,194,317,,201-300,0,0,0,11.1,47,,148,48.1,35.8,50.2,98.5,20.3,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Newcastle University,212,367,222,218,192,159,,201-300,0,0,12.2,15.2,37.6,,201-225,30.3,73.8,29.6,35,15.2,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Karlsruhe Institute of Technology,213,356,208,131,193,280,,201-300,0,0,12,14.9,37.2,,165,40.5,60.1,34.9,82.7,24.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Riverside",214,247,567,218,209,113,,101-150,12.6,0,24.7,23.9,32.2,,150,29.4,61.6,27.5,39.5,22,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Kiel,215,193,487,198,232,183,,151-200,10.3,13.3,13.8,13.7,29.7,,226-250,31.1,44.2,24.3,42,23.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Western Australia,216,156,306,145,146,181,,87,13.6,14.1,24.1,14.5,47.5,,157,36.3,87.3,38.1,63.3,20.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Connecticut,218,296,259,218,168,193,,301-400,11.5,0,8,8.6,35,,301-350,37.6,38.8,27.1,31.1,13,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Massachusetts Amherst,219,212,141,159,198,191,,101-150,13.6,0,32,16.9,35.5,,91,44.8,40.3,49.1,52.8,13,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Chinese University of Hong Kong,220,100,479,116,162,356,,151-200,0,14.1,15.1,5.2,43.1,,129,43.9,64,53.5,42.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Turin,221,315,450,163,206,278,,151-200,15.4,0,16.2,8.5,40,,251-275,29.4,39.3,20.3,40.8,66,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Manitoba,222,157,93,155,261,308,,301-400,0,0,8.1,8,34.5,,301-350,31.6,43.4,29.4,43.5,27.8,,,,,,,,,,,,,,,,,,,,,,,,
Austria,University of Vienna,223,191,185,101,231,154,,151-200,13.6,0,15.9,21.1,36.5,,182,35.2,91,39.7,29.4,20.5,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Maastricht University,225,367,567,218,185,354,,201-300,0,0,10.7,5.9,41.4,,101,32.4,89.7,48.1,96.1,18.9,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,National Cheng Kung University,226,367,52,218,164,485,,301-400,0,0,10.1,4.9,40.7,,351-400,31.8,26.7,40.1,100,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Laval University,229,292,273,218,207,270,,201-300,0,0,15,8.6,36.7,,226-250,35.8,55.7,29.9,62.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,
Germany,RWTH Aachen University,230,357,238,131,197,359,,201-300,0,0,16.3,6.3,40.6,,156,39,56.8,29.9,69.8,27.6,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,University College Dublin,238,241,112,218,288,285,,301-400,0,0,10.7,9.7,34.1,,226-250,31.7,79.4,28.1,33.8,24.5,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Leicester,240,367,567,218,258,139,,201-300,0,0,14.6,18.5,31,,199,29.8,83.9,31.6,34.8,13.4,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Autonomous University of Barcelona,241,367,567,218,144,220,,201-300,0,0,5,12.9,44.5,,226-250,30.4,46.4,29.2,34.6,12.3,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Dundee,242,178,567,218,354,200,,201-300,0,0,16.8,16.9,24.5,,201-225,24.4,64.5,22.5,47.7,15.3,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Norwegian University of Science and Technology,243,252,119,75,279,366,,101-150,13.6,21,10.1,12.9,36.4,,276-300,33.5,54.7,29.6,45,13.9,,,,,,,,,,,,,,,,,,,,,,,,
China,Nanjing University,244,342,362,218,134,358,,201-300,0,0,0.7,9.3,53.7,,251-275,34.6,50.2,23.3,51.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Florence,247,327,326,94,218,275,,201-300,0,0,15.2,10.1,38.8,,351-400,18.1,37.4,17.3,35.4,17.2,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,University of Cape Town,248,104,126,146,319,236,,201-300,18.5,0,12.2,11.5,37.3,,124,26.8,76.7,35.3,88,12.1,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Sussex,253,151,257,57,359,250,,151-200,0,22.4,15.2,12.1,30.3,,111,31.9,83.6,30.4,31.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Delft University of Technology,255,307,300,218,224,224,,201-300,11.5,0,8.6,18.1,38.9,,71,55.5,77.9,71.4,100,19.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,Virginia Polytechnic Institute and State University,256,283,152,218,201,264,,201-300,11.5,0,11.4,11.4,40.9,,276-300,40.1,28.9,40,42.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,University of Lisbon,257,337,465,152,155,296,,201-300,0,8.1,5,12.5,45,,351-400,30.1,46.8,22.8,33.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,Drexel University,258,367,233,218,362,338,,301-400,0,0,12.3,10.3,29.5,,301-350,31.8,42.2,14.3,34.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,Oregon State University,260,189,239,218,263,148,,151-200,10.3,0,23,21.2,34.7,,301-350,27.8,36.7,21.1,32,16.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Durham University,261,132,267,116,248,199,,201-300,0,0,19.6,14.6,34.5,,83,37.2,80.4,40.7,34.8,15.7,,,,,,,,,,,,,,,,,,,,,,,,
Japan,University of Tsukuba,262,202,567,107,230,255,,201-300,0,19.6,5.8,10.4,34.7,,301-350,33.4,36.1,21.6,36.9,12.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Reading,263,258,63,218,400,347,,301-400,0,0,14.3,8.4,26.7,,201-225,32.8,75,34,34.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Medical University of Vienna,265,367,567,218,251,228,,201-300,8.9,9.4,8.6,9.3,33.4,,251-275,28.6,73.1,17,33.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Waterloo,269,367,124,218,190,333,,201-300,0,0,14.6,13.8,42.2,,251-275,30.9,63.1,40.4,41.7,24.2,,,,,,,,,,,,,,,,,,,,,,,,
USA,Colorado State University - Fort Collins,271,211,493,148,244,203,,201-300,0,0,20.3,14.2,36.2,,276-300,27.6,30.4,31.3,38.8,19,,,,,,,,,,,,,,,,,,,,,,,,
USA,Tulane University,272,324,144,218,365,299,,301-400,0,0,12.2,8.7,26.1,,301-350,40.7,29.7,20.7,-,8.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University at Buffalo, The State University of New York",273,367,398,218,203,298,,201-300,0,0,13.1,9.3,37.5,,191,40.1,57,39.8,39.6,19,,,,,,,,,,,,,,,,,,,,,,,,
USA,Brandeis University,274,51,342,78,549,195,,201-300,19.2,0,8.6,18.8,18.4,,147,25.8,54.7,29.1,43.9,12.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,Northeastern University,275,316,125,218,370,312,,201-300,0,0,15.9,16.5,29.9,,185,36.4,54.7,21.9,34,15.1,,,,,,,,,,,,,,,,,,,,,,,,
China,Sun Yat-sen University,277,367,254,218,161,393,,151-200,0,0,8.7,9.9,54.9,,301-350,32.5,37,25.2,58.9,16.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,London School of Economics,279,78,65,91,503,739,,101-150,19.9,16.3,15.2,,31.2,,34,65.4,87.4,74.2,40.6,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Vrije Universiteit Brussel,280,110,567,218,294,301,,201-300,13.6,0,5,10,31.3,,351-400,31.2,54.5,17.9,44.8,17.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Delaware,281,318,337,135,272,304,,151-200,10.3,16.3,20.1,10,30.8,,180,29,40.6,36.3,99.3,15.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Rensselaer Polytechnic Institute,282,137,142,218,402,346,,301-400,12.6,0,13.9,12,22.1,,226-250,30.9,42.8,26.2,49.9,15,,,,,,,,,,,,,,,,,,,,,,,,
Norway,University of Bergen,283,367,567,218,229,201,,201-300,0,0,10.7,16.5,36.7,,201-225,29.5,65.3,27.9,34.2,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Queen's University,284,322,155,218,254,274,,201-300,0,0,13.1,11.9,32.6,,251-275,37.3,55.4,33.4,59,22.1,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Umeå University,287,367,567,218,275,198,,301-400,0,0,12.2,10.4,33.7,,351-400,21.2,50.3,25.7,31.3,11.9,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Duisburg-Essen,288,367,498,218,287,282,,301-400,0,0,8.6,9.7,30.6,,301-350,21.9,49.2,13.7,44.2,46.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Warwick,293,210,444,116,205,239,,92,0,29.8,23.7,14,39.3,,103,41.1,85.7,45.8,35.6,16.6,,,,,,,,,,,,,,,,,,,,,,,,
Spain,University of Valencia,294,367,470,218,208,348,,301-400,0,0,8.6,7.6,41.1,,301-350,17.9,43.7,12,30.8,15.4,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Pisa,295,273,473,218,227,360,,151-200,13.6,23.1,7.2,6.5,37,,301-350,22.4,36.7,18.8,37.7,18,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of South Carolina - Columbia,300,367,299,185,262,367,,201-300,0,0,16.8,8.4,35.9,,276-300,34.5,37.3,27.5,31.8,16.3,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Autonomous University of Madrid,304,367,460,218,225,256,,201-300,0,0,11.3,9.9,39.3,,301-350,28.6,48.8,19.3,32.2,13,,,,,,,,,,,,,,,,,,,,,,,,
China,Dalian University of Technology,305,367,104,218,313,667,,201-300,0,0,12.2,13.1,34.3,,226-250,33.6,71.6,30,68.9,14.4,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Stellenbosch University,306,367,66,218,520,503,,401-500,0,0,5,5.3,31.2,,276-300,30,47.8,31.2,94.7,23,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of St Andrews,309,145,506,218,308,188,,301-400,10.3,0,3.8,17.5,29.3,,111,35.7,90.5,35.9,39.8,12.7,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,University of Antwerp,312,367,567,218,265,307,,301-400,0,0,5.1,10.7,35.8,,170,34.6,61,33.6,100,30.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Nebraska–Lincoln,314,165,207,218,278,262,,201-300,17,0,16.8,11.6,33.4,,276-300,31,47.8,24.4,35,16.4,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Stuttgart,316,82,172,218,399,369,,201-300,18.5,0,10.1,12.2,26.7,,301-350,30.6,59.3,17.3,48.2,45.4,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hong Kong University of Science and Technology,319,367,359,218,256,466,,201-300,0,0,17.4,9.2,31.9,,51,51.8,77.8,66.8,57.6,23.8,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Kobe University,320,95,240,116,368,271,,301-400,14.5,0,5.1,11.5,30.8,,301-350,21.6,49.8,24.4,50.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,University of Liège,321,143,567,144,317,218,,201-300,7.3,0,10.1,13.5,30.8,,351-400,25.9,69.1,18.4,70.4,25.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Vermont,324,198,256,218,357,288,,301-400,13.6,0,12.2,11.4,26.6,,351-400,26.8,21,19.4,-,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of York,325,367,567,218,270,205,,201-300,0,0,13.9,15.2,32.5,,113,32.2,75,33.8,32.2,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Boston College,326,367,97,218,557,363,,401-500,0,0,8.6,14.1,22.3,,126,32.4,54.6,29.1,46.5,17.4,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Pavia,327,295,380,214,330,381,,401-500,0,0,5,5.7,30.7,,251-275,26.3,43.5,19.2,64.4,40.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Exeter,333,264,481,218,293,174,,151-200,0,0,17.8,18.4,34.9,,154,32,79.8,32.7,35.8,18.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Adelaide,335,219,445,218,234,243,,151-200,14.5,0,16.3,12.9,42,,164,33.8,79.3,40.4,65.3,30.1,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of East Anglia,336,206,567,179,349,211,,201-300,13.6,0,19.2,15.6,28.3,,198,25.2,76.5,22.6,29.2,14.7,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Trieste,342,367,443,218,395,286,,401-500,0,0,5,10.9,25.1,,201-225,28.7,50.7,16,33.3,25.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Queen's University Belfast,343,183,387,218,306,276,,301-400,17.8,0,0,10.1,31.4,,251-275,30.1,88.6,25.1,43.7,17.9,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Technical University of Berlin,345,85,271,218,360,412,,301-400,16.2,0,7.8,7.4,29.1,,226-250,42.2,70.4,32.3,63.4,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,University of Innsbruck,347,197,397,112,430,222,,201-300,0,9.4,14.8,18.6,24.1,,201-225,23.9,93.4,17.1,42,16.9,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eindhoven University of Technology,348,367,347,186,306,549,,301-400,0,0,12.3,9.2,31.1,,144,38.3,69,47.1,99.9,16,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Oklahoma - Norman Campus,350,367,150,218,383,240,,401-500,0,0,5.1,10,28,,301-350,32.6,30,15.7,34.5,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Victoria,352,367,567,218,321,328,,201-300,0,0,17.2,11.3,29.7,,173,21.6,70.1,30.6,31.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,Kansas State University,353,130,229,218,373,320,,401-500,0,0,7.1,10.5,27.9,,301-350,27,41.5,16.5,39.2,15.1,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hong Kong Polytechnic University,354,367,166,218,259,764,,301-400,0,0,11.3,4.9,38.7,,201-225,33.7,69.9,36.5,42.6,25.9,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Linköping University,355,367,237,218,323,401,,301-400,0,0,10.7,9.3,34,,351-400,20.2,50.9,27.6,-,7.7,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,University of Southern Denmark,356,367,567,218,386,327,,201-300,0,0,7.2,11.9,37.6,,301-350,19.5,67.1,20.5,72.6,12.7,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,University of Otago,357,367,377,218,312,353,,201-300,0,0,12.2,10.1,34.1,,251-275,27.1,81.5,27.7,31.9,20.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,San Diego State University,361,248,204,218,467,302,,301-400,0,0,14.3,10.1,24.2,,301-350,19.7,26.9,24.8,29.2,31.7,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Simon Fraser University,362,367,567,218,284,303,,201-300,0,0,12.2,13.2,32.7,,226-250,24.6,61.4,29.3,41.8,28.3,,,,,,,,,,,,,,,,,,,,,,,,
Finland,University of Eastern Finland,366,367,567,218,374,388,,401-500,0,0,10.7,5.7,28.8,,351-400,24.3,44.1,21.6,32.8,17.3,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Ferrara,369,367,567,218,416,392,,401-500,0,0,10.1,5.9,24.9,,351-400,19.5,42.1,15.2,40.4,30.2,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Pompeu Fabra University,375,367,567,218,397,164,,201-300,0,0,5,19.7,26.4,,165,25.1,63.2,28.3,35.9,18.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,"Washington State University, Pullman",380,367,301,131,334,234,,301-400,0,0,17.3,8.5,31,,351-400,28.5,36,27.5,54.5,18.3,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Milan - Bicocca,382,367,567,218,390,305,,401-500,0,0,5,5.6,30.9,,226-250,27.1,40.6,23,45,72.5,,,,,,,,,,,,,,,,,,,,,,,,
Finland,University of Turku,383,367,531,218,320,319,,301-400,0,0,6.3,8.2,33,,351-400,24.3,46.3,21.8,32.1,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,National Chiao Tung University,386,367,206,218,240,651,,301-400,0,0,8.6,8.8,32.1,,276-300,35,30.7,40.7,98.2,16.6,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Ewha Womans University,390,367,567,218,462,509,,401-500,0,0,5,8.6,27.7,,351-400,23.5,36,18,61.3,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Tokyo Medical and Dental University,392,367,567,218,473,352,,401-500,0,0,3.6,9.2,23.9,,276-300,42.7,21.8,22.9,56.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Scuola Normale Superiore di Pisa,393,263,567,61,548,526,,301-400,0,0,7.2,6.1,17.2,,63,48.2,50.1,46,40.1,16.5,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Polytechnic University of Milan,397,103,181,191,358,510,,201-300,7.3,14.9,5,7,32.9,,301-350,27.6,42.9,26.6,67.8,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Chalmers University of Technology,402,361,311,218,367,426,,301-400,0,0,8.9,10.7,29.7,,276-300,35.7,62.5,32.8,75.8,11.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Bath,405,367,368,218,388,378,,401-500,0,0,5.1,11.7,27.9,,301-350,29.2,76.1,25.1,36.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,National Tsing Hua University,407,262,520,218,238,425,,201-300,12.6,0,5.1,12.9,32.6,,251-275,39.4,24.8,40.3,49.4,13.5,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,University of Twente,408,367,511,218,343,511,,301-400,0,0,5.1,8.3,31.4,,201-225,32.3,67.2,45.3,89.2,12,,,,,,,,,,,,,,,,,,,,,,,,
USA,George Mason University,414,367,567,98,450,371,,151-200,0,31.9,5.1,8.9,28.7,,351-400,26.3,35.8,20.3,28.7,17,,,,,,,,,,,,,,,,,,,,,,,,
China,Wuhan University,415,367,258,218,274,612,,301-401,0,0,0,2.5,45.6,,351-400,34.1,33.1,17.4,85.9,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Swedish University of Agricultural Sciences,416,146,567,218,393,268,,201-300,0,0,13.3,14.3,29.1,,251-275,27.9,49.6,25.2,99.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Aalto University,421,367,224,218,336,403,,401-500,0,0,0,10.4,33.4,,251-275,31.8,59.4,31.3,64.5,24.2,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Chonbuk National University,422,367,567,218,507,774,,201-300,0,0,18.1,1.5,38.5,,192,31,71.3,32.9,49.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Lancaster University,426,367,360,218,364,398,,301-400,0,0,13.9,7.4,30.1,,131,35.4,84.7,36.1,34.1,14.9,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Vienna University of Technology,427,363,350,218,377,377,,401-500,0,0,0,12.2,28.8,,226-250,43.3,75.9,32.4,64.1,52,,,,,,,,,,,,,,,,,,,,,,,,
Spain,University of Granada,431,367,567,218,303,449,,151-200,0,15.4,12.3,14.5,41.3,,226-250,24.1,46.8,38.2,37,16.4,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,University College Cork,436,367,430,218,426,431,,401-500,0,0,13.1,7.5,25.3,,276-300,26.7,70.8,22.2,45.9,22.3,,,,,,,,,,,,,,,,,,,,,,,,
India,Indian Institute of Science,448,367,332,218,315,537,,301-400,0,0,7.2,2.7,36.8,,276-300,32.6,18.2,39.5,37.9,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Macquarie University,449,367,304,218,391,292,,201-300,0,0,18.1,13.1,33.6,,301-350,24,89.2,24.8,36.2,20,,,,,,,,,,,,,,,,,,,,,,,,
Poland,University of Warsaw,462,118,562,150,409,462,,301-400,15.4,0,0,8.8,29.9,,301-350,20.8,41.6,13.6,28.5,14.1,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bielefeld University,464,367,567,218,480,375,,401-500,0,0,11.8,8.6,24.8,,351-400,27.5,48.6,19.1,37.4,67.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Wollongong,467,367,269,218,431,433,,201-300,0,0,17.4,9.2,32,,276-300,25.2,80.4,27.8,44.7,25.4,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Brunel University,472,367,236,218,497,676,,401-500,0,0,12.2,3.6,23.7,,226-250,22.1,88.8,21.4,31.9,17.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Hawaii at Manoa,488,367,435,153,448,213,,151-200,0,0,20.1,22.9,36,,251-275,35.1,59.4,30.7,38.3,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Konstanz,490,367,567,218,475,337,,401-500,0,0,12.1,11.4,22.2,,226-250,30.5,57,33.4,52.5,59.1,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Newcastle,494,367,567,218,408,496,,301-400,0,0,11.1,5.6,33,,251-275,26.5,70.6,29.9,75.6,21.9,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Bremen,535,367,567,218,466,289,,401-500,0,0,0,14.1,29.1,,251-275,33.9,53,27.6,46.3,25.6,,,,,,,,,,,,,,,,,,,,,,,,
