world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
401-500,University of Ljubljana,1,,0,0,0,7.7,35.1,14.2,2015
401-500,"University of Maryland, Baltimore County",126-146,,0,0,17.4,6.5,17.8,17.3,2015
401-500,University of Milan - Bicocca,20-Nov,,0,0,5,5.6,30.9,21.4,2015
401-500,University of Nice Sophia Antipolis,19-22,,0,0,3.6,16.3,26.2,12.7,2015
401-500,University of Oklahoma - Norman,126-146,,0,0,5.1,10,28,14,2015
401-500,University of Palermo,20-Nov,,0,0,6.3,6.6,28.2,14.8,2015
401-500,University of Parma,20-Nov,,0,0,13.6,2.1,26.7,19.6,2015
401-500,University of Pavia,20-Nov,,0,0,5,5.7,30.7,19.7,2015
401-500,University of Perugia,20-Nov,,0,0,3.6,7.5,29.3,18.5,2015
401-500,University of Quebec,19-20,,0,0,0,9.8,33.3,16.8,2015
401-500,University of Regensburg,29-39,,0,0,3.6,13.9,27.7,15.2,2015
401-500,University of Rennes 1,19-22,,0,0,3.6,9.2,28.1,11.2,2015
401-500,University of Rhode Island,126-146,,0,0,15.2,6.1,21.1,16,2015
401-500,University of Roma - Tor Vergata,20-Nov,,0,0,0,8.8,33.7,19.2,2015
401-500,University of Rostock,29-39,,0,0,8.6,8.4,25,13.5,2015
401-500,University of Santiago Compostela,13-Sep,,0,0,7.1,6.1,31.1,13.2,2015
401-500,"University of Science, Malaysia",2,,0,0,7.1,3.3,30.6,15.7,2015
401-500,University of Seville,13-Sep,,0,0,0,7.5,33.7,11.3,2015
401-500,University of Surrey,34-37,,0,0,8.6,4.9,27,18,2015
401-500,University of Szeged,02-Jan,,0,13.3,3.6,3.4,21.8,12.8,2015
401-500,University of the Basque Country,13-Sep,,0,0,3.6,7.1,36.1,13.5,2015
401-500,University of Trieste,20-Nov,,0,0,5,10.9,25.1,20.1,2015
401-500,University of Zaragoza,13-Sep,,0,0,7.6,5.1,33.3,13.1,2015
401-500,Utah State University,126-146,,13.6,0,3.6,10.8,25.1,15.5,2015
401-500,Vienna University of Technology,06-Apr,,0,0,0,12.2,28.8,22.9,2015
401-500,Wake Forest University,126-146,,0,0,14.9,7.5,25,11.9,2015
