quality_of_education,alumni_employment,quality_of_faculty,publications,influence,teaching,international,research,income,student_staff_ratio,Ranking_Bin
315,450,163,206,278,29.4,39.3,20.3,40.8,66,6
367,567,218,390,305,27.1,40.6,23,45,72.5,9
295,380,214,330,381,26.3,43.5,19.2,64.4,40.6,9
103,181,191,358,510,27.6,42.9,26.6,67.8,22.2,7
202,567,107,230,255,33.4,36.1,21.6,36.9,12.6,7
279,277,135,148,173,38.4,25.2,27.5,43.4,8.2,6
161,567,218,857,833,28.4,49,15.3,46.8,53.9,7
95,240,116,368,271,21.6,49.8,24.4,50.6,14.6,8
16,3,38,14,19,81.4,32.4,85.1,51.2,5.7,1
367,567,218,473,352,42.7,21.8,22.9,56.9,3.3,9
367,49,218,152,182,36.5,26.1,28.5,68.7,6.7,7
170,50,128,169,169,53.5,37,52.9,69.4,7.3,6
22,16,24,30,42,70.4,29,68.4,73.3,5.6,2
46,39,75,50,58,51.3,29.1,48,73.6,7.8,4
41,170,218,68,127,49.7,29.7,47.3,76.8,5,5
39,322,53,138,140,37.5,31.8,31.8,86.3,7.9,4
128,274,218,89,119,30.5,61.6,46.7,42.8,13,5
120,567,102,82,94,45,59.5,58.2,47.3,17.1,4
367,46,189,87,147,39.8,66.2,53.7,54.4,18.9,6
109,317,212,70,88,42,60.5,55.4,56.7,14.4,5
367,385,218,79,120,35.5,50.6,43.2,60,16.3,4
84,199,115,39,44,38.2,52.9,54.8,84.1,15.4,3
313,193,196,64,96,36.9,56.1,50.8,88.9,25.6,3
367,511,218,343,511,32.3,67.2,45.3,89.2,12,8
367,567,218,185,354,32.4,89.7,48.1,96.1,18.9,7
367,347,186,306,549,38.3,69,47.1,99.9,16,8
307,300,218,224,224,55.5,77.9,71.4,100,19.4,7
367,377,218,312,353,27.1,81.5,27.7,31.9,20.3,7
367,567,218,229,201,29.5,65.3,27.9,34.2,11.1,7
53,286,40,106,134,36.1,60.3,35.2,36.6,18.8,3
252,119,75,279,366,33.5,54.7,29.6,45,13.9,5
118,562,150,409,462,20.8,41.6,13.6,28.5,14.1,8
337,465,152,155,296,30.1,46.8,22.8,33.9,17.5,7
367,98,218,34,125,72,94.9,78.1,53.4,15.5,5
367,567,218,102,361,43.9,92.5,55.9,100,16.2,6
104,126,146,319,236,26.8,76.7,35.3,88,12.1,7
367,66,218,520,503,30,47.8,31.2,94.7,23,9
61,32,172,442,237,22.3,66.3,21.7,94.8,18.6,7
367,567,218,507,774,31,71.3,32.9,49.8,7.1,7
367,567,218,462,509,23.5,36,18,61.3,14.4,9
367,45,218,140,326,44.5,35.7,45.8,69.7,11.6,7
367,9,218,36,163,75.5,30.3,77.1,86.3,13.9,5
367,168,218,286,471,31.5,48.4,32.3,88.7,10.4,8
367,194,218,183,283,48.9,35.9,44.3,98.5,15.8,7
367,225,218,194,317,48.1,35.8,50.2,98.5,20.3,7
367,388,218,533,748,63.5,34.9,63.2,100,10,7
367,567,218,285,355,52.7,36,49.3,100,10.1,8
367,470,218,208,348,17.9,43.7,12,30.8,15.4,8
367,226,218,61,108,28.4,47.8,28.8,31,12.2,6
367,460,218,225,256,28.6,48.8,19.3,32.2,13,7
367,567,218,144,220,30.4,46.4,29.2,34.6,12.3,7
367,567,218,397,164,25.1,63.2,28.3,35.9,18.3,7
367,567,218,303,449,24.1,46.8,38.2,37,16.4,6
367,567,218,275,198,21.2,50.3,25.7,31.3,11.9,8
129,79,187,202,89,30.1,53.2,45,32.4,23.7,4
136,466,169,85,135,32.6,70.1,48.5,32.6,11.5,5
73,321,70,95,75,40.2,57.5,53,39.6,18.2,3
149,567,36,51,54,57.1,60.6,68,65.5,11.5,2
361,311,218,367,426,35.7,62.5,32.8,75.8,11.6,8
146,567,218,393,268,27.9,49.6,25.2,99.8,4.6,7
367,237,218,323,401,20.2,50.9,27.6,53.9,7.7,8
115,389,85,56,46,40.2,86.9,33.1,40.1,6.5,3
184,526,213,163,128,42,80.7,36.9,47.4,22.5,6
